run_at_utc,week_label,admin_name,minutes
2025-11-23T07:21:07Z,last-7d,chani,1033
2025-11-23T07:21:07Z,last-7d,LeaNuX || MeMo,643
2025-11-23T07:21:07Z,last-7d,US-B,479
2025-11-23T07:21:07Z,last-7d,DS || DaWaWeeN,380
2025-11-23T07:21:07Z,last-7d,s@bin@,327
2025-11-23T07:21:07Z,last-7d,BaReS,247
2025-11-23T07:21:07Z,last-7d,R()CK~KI||3R,228
2025-11-23T07:21:07Z,last-7d,BaRoN,205
2025-11-23T07:21:07Z,last-7d,95 | HakeRs,197
2025-11-23T07:21:07Z,last-7d,< gHo$T R1D3r=  >,147
2025-11-23T07:21:07Z,last-7d,N00bie || (0-0),49
2025-11-23T07:21:07Z,last-7d,Altair Ibn La Ahad,0
2025-11-23T07:21:07Z,last-7d,anouar,0
2025-11-23T07:21:07Z,last-7d,DS || fReak*,0
2025-11-23T07:21:07Z,last-7d,DS || Miladiii,0
2025-11-23T07:21:07Z,last-7d,DS || MuSTaFa,0
2025-11-23T07:21:07Z,last-7d,GuNsNGloRy | AmmaR,0
2025-11-23T07:21:07Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-11-23T07:21:07Z,last-7d,N00bie || MOUSE?,0
2025-11-23T07:21:07Z,last-7d,N00bie || WOLF,0
2025-11-23T07:21:07Z,last-7d,Noor,0
2025-11-23T07:21:07Z,last-7d,what the,0
